
ID:                 No Table ID
Table-Type:         None
Format-URL:         http://biom-format.org
Format-Version:     (2, 1)
Generated-By:       QIIME 1.8.0-dev, master@548e1de
Creation-Date:      2014-11-10 11:23:01.145130
Shape:              (14461, 89)
Non-Zero-Values:    136116
Density:            10.58%


Sample: 638.FRX6.120710.2 metadata: None
Sample: 638.VAN20.120210.1 metadata: None
Sample: 638.RMK.ENR.25.1 metadata: None
Sample: 638.RMK.ENR.15.1 metadata: None
Sample: 638.FRX7.120710.2 metadata: None
Sample: 638.ELB18.111810.2 metadata: None
Sample: 638.VAN35.120210.2 metadata: None
Sample: 638.RMK.ENR.7.1 metadata: None
Sample: 638.VAN35.120210.1 metadata: None
Sample: 638.VAN45.120210.1 metadata: None
Sample: 638.FRX9.120710.1 metadata: None
Sample: 638.RMK.ENR.8.1 metadata: None
Sample: 638.FRX6.120710.1 metadata: None
Sample: 638.VAN45.120210.2 metadata: None
Sample: 638.RMK.ENR.27.2 metadata: None
Sample: 638.RMK.ENR.1.1 metadata: None
Sample: 638.ELB6.111810.2 metadata: None
Sample: 638.RMK.ENR.23.2 metadata: None
Sample: 638.VAN65.120210.1 metadata: None
Sample: 638.RMK.ENR.3.1 metadata: None
Sample: 638.RMK.ENR.25.2 metadata: None
Sample: 638.RMK.ENR.9.2 metadata: None
Sample: 638.RMK.ENR.7.2 metadata: None
Sample: 638.RMK.ENR.4.1 metadata: None
Sample: 638.RMK.ENR.26.1 metadata: None
Sample: 638.RMK.ENR.15.2 metadata: None
Sample: 638.ELB6.111810.1 metadata: None
Sample: 638.RMK.ENR.24.2 metadata: None
Sample: 638.RMK.ENR.20.1 metadata: None
Sample: 638.RMK.ENR.16.1 metadata: None
Sample: 638.ELB15.111810.1 metadata: None
Sample: 638.ELB18.111810.1 metadata: None
Sample: 638.RMK.ENR.14.2 metadata: None
Sample: 638.RMK.ENR.24.1 metadata: None
Sample: 638.RMK.ENR.14.1 metadata: None
Sample: 638.RMK.ENR.22.1 metadata: None
Sample: 638.RMK.ENR.23.1 metadata: None
Sample: 638.RMK.ENR.22.2 metadata: None
Sample: 638.RMK.ENR.13.1 metadata: None
Sample: 638.RMK.ENR.21.1 metadata: None
Sample: 638.RMK.ENR.17.1 metadata: None
Sample: 638.VAN65.120210.2 metadata: None
Sample: 638.FRX7.120710.1 metadata: None
Sample: 638.VAN20.120210.2 metadata: None
Sample: 638.ELB15.111810.2 metadata: None
Sample: 638.RMK.ENR.4.2 metadata: None
Sample: 638.FRX7.120910.2 metadata: None
Sample: 638.RMK.ENR.6.2 metadata: None
Sample: 638.RMK.ENR.18.1 metadata: None
Sample: 638.RMK.ENR.8.2 metadata: None
Sample: 638.RMK.ENR.2.1 metadata: None
Sample: 638.RMK.ENR.20.2 metadata: None
Sample: 638.RMK.ENR.10.1 metadata: None
Sample: 638.RMK.ENR.28.2 metadata: None
Sample: 638.RMK.ENR.35.1 metadata: None
Sample: 638.RMK.ENR.12.1 metadata: None
Sample: 638.RMK.ENR.9.1 metadata: None
Sample: 638.RMK.ENR.5.1 metadata: None
Sample: 638.RMK.ENR.28.1 metadata: None
Sample: 638.RMK.ENR.29.2 metadata: None
Sample: 638.RMK.ENR.27.1 metadata: None
Sample: 638.RMK.ENR.32.1 metadata: None
Sample: 638.RMK.ENR.6.1 metadata: None
Sample: 638.RMK.ENR.12.2 metadata: None
Sample: 638.RMK.ENR.32.2 metadata: None
Sample: 638.RMK.ENR.17.2 metadata: None
Sample: 638.RMK.ENR.10.2 metadata: None
Sample: 638.RMK.ENR.34.1 metadata: None
Sample: 638.RMK.ENR.26.2 metadata: None
Sample: 638.RMK.ENR.33.1 metadata: None
Sample: 638.RMK.ENR.18.2 metadata: None
Sample: 638.RMK.ENR.11.2 metadata: None
Sample: 638.RMK.ENR.31.2 metadata: None
Sample: 638.RMK.ENR.30.1 metadata: None
Sample: 638.RMK.ENR.13.2 metadata: None
Sample: 638.RMK.ENR.19.2 metadata: None
Sample: 638.RMK.ENR.36.2 metadata: None
Sample: 638.RMK.ENR.21.2 metadata: None
Sample: 638.RMK.ENR.35.2 metadata: None
Sample: 638.RMK.ENR.19.1 metadata: None
Sample: 638.RMK.ENR.31.1 metadata: None
Sample: 638.RMK.ENR.34.2 metadata: None
Sample: 638.RMK.ENR.36.1 metadata: None
Sample: 638.RMK.ENR.33.2 metadata: None
Sample: 638.RMK.ENR.16.2 metadata: None
Sample: 638.RMK.ENR.11.1 metadata: None
Sample: 638.RMK.ENR.30.2 metadata: None
Sample: 638.RMK.ENR.29.1 metadata: None
Sample: 638.RMK.ENR.5.2 metadata: None
Observation: 4479946 metadata: k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__MND1;f__;g__;s__
Observation: 4479944 metadata: k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__0319-7L14;f__;g__;s__
Observation: 244331 metadata: k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__;s__
Observation: 4446 metadata: k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__;s__
Observation: 973124 metadata: k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__;s__
Observation: 4355811 metadata: k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__;s__
Observation: 114788 metadata: k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae;g__Opitutus;s__
Observation: 126871 metadata: k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae;g__Fluviicola;s__
Observation: 185100 metadata: k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales;f__Bacteriovoracaceae;g__;s__
Observation: 11544 metadata: k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Frankiaceae;g__Frankia;s__
Observation: 623634 metadata: k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter;s__
Observation: 1126569 metadata: k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__;g__;s__
Observation: 834306 metadata: k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__;g__;s__
Observation: 1027515 metadata: k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__;s__
Observation: 562114 metadata: k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__
Observation: 511344 metadata: k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes;s__
Observation: 4298759 metadata: k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__;g__;s__
Observation: 256904 metadata: k__Bacteria;p__Chloroflexi;c__Ellin6529;o__;f__;g__;s__
Observation: 19398 metadata: k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Pseudoalteromonadaceae;g__Pseudoalteromonas;s__
Observation: 612465 metadata: k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__;s__
Observation: 253428 metadata: k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Pseudoalteromonadaceae;g__Pseudoalteromonas;s__
Observation: 727894 metadata: k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__C111;g__;s__
Observation: 4467992 metadata: k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
Observation: 544561 metadata: k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Hyphomonadaceae;g__;s__
Observation: 4454356 metadata: k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__
Observation: 261920 metadata: k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Pseudoalteromonadaceae;g__Pseudoalteromonas;s__ruthenica
Observation: 3209311 metadata: k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__HTCC2188;g__;s__
Observation: 207124 metadata: k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__
Observation: 4478898 metadata: k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__
Observation: 241670 metadata: k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Saprospiraceae;g__;s__
Observation: 308017 metadata: k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__;s__
Observation: 4351648 metadata: k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
Observation: 817013 metadata: k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Thermomonosporaceae;g__Actinomadura;s__vinacea
Observation: 4455330 metadata: k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__;s__
Observation: 4424925 metadata: k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Niabella;s__
Observation: 580916 metadata: k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__stygium
Observation: 1765390 metadata: k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__
Observation: 580914 metadata: k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__;s__
Observation: 1059007 metadata: k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cyclobacteriaceae;g__;s__
Observation: 1116073 metadata: k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__;s__
Observation: 1116070 metadata: k__Bacteria;p__Proteobacteria;c__;o__;f__;g__;s__
Observation: 900044 metadata: k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__;s__
Observation: 266046 metadata: k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiohalorhabdales;f__Thiohalorhabdaceae;g__;s__
Observation: 665110 metadata: k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__;g__;s__
Observation: 807854 metadata: k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__
Observation: 4308369 metadata: k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Luteimonas;s__
Observation: 460604 metadata: k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__;s__
Observation: 3482979 metadata: k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__;s__
Observation: 4433298 metadata: k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cyclobacteriaceae;g__;s__
Observation: 6794 metadata: k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Thiobacterales;f__Thiobacteraceae;g__Thiobacter;s__
Observation: 1128417 metadata: k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__
Observation: 4364733 metadata: k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__;s__
Observation: 608919 metadata: k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__;g__;s__
Observation: 218132 metadata: k__Bacteria;p__Chlorobi;c__OPB56;o__;f__;g__;s__
Observation: 4337494 metadata: k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__
Observation: 4393783 metadata: k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__;f__;g__;s__
Observation: 697997 metadata: k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__;g__;s__
Observation: 405006 metadata: k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__;g__;s__
Observation: 4260136 metadata: k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__;s__
Observation: 853114 metadata: k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__;s__
Observation: 4399527 metadata: k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae;g__Fluviicola;s__
Observation: 191464 metadata: k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__;s__
Observation: 732255 metadata: k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__
Observation: 791123 metadata: k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__
Observation: 4433034 metadata: k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__;s__
Observation: 247681 metadata: k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Piscirickettsiaceae;g__;s__
Observation: 4362775 metadata: k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__;s__
Observation: 1108390 metadata: k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__;g__;s__
Observation: 4335437 metadata: k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__;s__
Observation: 842284 metadata: k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Dyella;s__
Observation: 576649 metadata: k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Gallionellales;f__Gallionellaceae;g__Gallionella;s__
Observation: 4440262 metadata: k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__MND1;f__;g__;s__
Observation: 546304 metadata: k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__;g__;s__
Observation: 514449 metadata: k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae;g__;s__
Observation: 2411393 metadata: k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__;s__
Observation: 105008 metadata: k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__211ds20;g__;s__
Observation: 617160 metadata: k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__;g__;s__
Observation: 215615 metadata: k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae;g__;s__
Observation: 4315620 metadata: k__Bacteria;p__Gemmatimonadetes;c__Gemm-5;o__;f__;g__;s__
Observation: 227239 metadata: k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__;s__
Observation: 4358878 metadata: k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__;g__;s__
Observation: 839427 metadata: k__Bacteria;p__SAR406;c__AB16;o__ZA3648c;f__AEGEAN_185;g__;s__
Observation: 81939 metadata: k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__;g__;s__
Observation: 309271 metadata: k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Stramenopiles;f__;g__;s__
Observation: 533628 metadata: k__Bacteria;p__Planctomycetes;c__OM190;o__CL500-15;f__;g__;s__
Observation: 4358876 metadata: k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__OM60;g__;s__
Observation: 101942 metadata: k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;o__Nostocales;f__Nostocaceae;g__Anabaena;s__
Observation: 537635 metadata: k__Bacteria;p__Chlorobi;c__;o__;f__;g__;s__
Observation: 113576 metadata: k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__;s__
Observation: 328080 metadata: k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
Observation: 173543 metadata: k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Shewanella;s__
Observation: 4371455 metadata: k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__;s__
Observation: 554377 metadata: k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Sporichthyaceae;g__;s__
Observation: 1086554 metadata: k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__;g__;s__
Observation: 4454827 metadata: k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Flammeovirgaceae;g__;s__
Observation: 619976 metadata: k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__;s__
Observation: 4299150 metadata: k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae;g__Opitutus;s__
Observation: 346995 metadata: k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae;g__Opitutus;s__
